id,text
11,"Bán đất phân lô gần Hồ Đền Lừ, Hoàng Mai ô tô đỗ ngày đêm
Diện tích sổ đỏ: 135M2
Mặt tiền: 5.5M
Thuận tiện phù hợp Xây chung cư mini, tòa căn hộ dịch vụ cho thuê
Vị trí: khu dân trí cao, an ninh tốt, tiện chợ gần trường học ngõ trước nhà rộng ô tô đỗ cửa, tránh nhau được, ngõ thông nhiều hướng ra Nguyễn Đức Cảnh, Hoàng Văn Thụ.đi bộ ra Hồ Đền Lừ mất 3 phút.
Sổ đỏ chính chủ, Pháp Lý sạch
Giá bán: 14.X tỷ"
12,"+ Chính chủ bán nhà do mình tự xây, ngõ thoáng sạch sẽ, văn minh, ở rất thích, thiêt kế đầy đủ công năng sử dụng, khách mua về ở luôn.
+ Thiết kế:
Tầng 1: Bếp, phòng khách, wc.
Tầng 2 3 4. Mỗi tầng 1 phòng ngủ, wc.
Tầmg 5: phòng thờ và sân phơi.
+ Vị trí trung tâm Cầu Giấy, gần Trung Kính, khu vực dân trí cao, tiện ích đầy đủ, đi đâu cũng rất tiện, ngõ rộng, thoáng sáng.
Sổ đẹp, vuông vắn, sẵn sàng giao dịch.
LH nhà không có quy hoạch, xem nhà miễn phí, Xin cảm ơn."
13,"MẶT PHỐ - KINH DOANH ĐA DẠNG - VỈ HÈ THÊNH THANG  NHÀ 5 TẦNG ĐẸP + MẶT TIỀN RỘNG 6M + CHỈ HƠN 9 TỶ
Cần bán nhà 5 tầng sổ đỏ chính chủ mặt phố Phạm Văn Đồng, quận Bắc Từ Liêm, mặt tiền rộng 6m, kinh doanh sầm uất, giá 9 tỷ tư
Vị trí nằm trên trục đường huyết mạch của Quận Từ Liêm,  vỉa hè rộng 5m, kinh doanh đa dạng.
- Nhà thiết kế 5 tầng chắc chắn, phòng nào cũng đón ánh sáng tự nhiên. + T1: khách, wc + T2,3 : ngủ, wc + T4: Bếp, wc + T5: phòng thờ, sân phơi.
- Sổ đỏ chính chủ, sẵn sàng giao dịch
Đi xem nhà miễn phí, gặp trực tiếp chủ nhà đàm phán giá cả."
14,"Gia đình cần bán 160m2 đất thổ cư tai thường tín, thành phố hà nội, thửa đất nằm ngay trục đường chính liên xã, đường trước nhà rộng 15m, kinh doanh sầm uất, khu vực đang phát triển mạnh từng ngày và giá trị sẽ tăng nhanh sau khi quy hoạch huyện thanh trì lên quận thì khu vực sẽ được quy hoạch về thanh trì nên giá trị sẽ tăng mạnh. khu vực ngay cửa ngõ phía nam thành phố, cách trung tâm hà nội 18km. khu dân trí cực cao
Thửa đất vuông vắn không lỗi phong thủy
Diện tích 160m2 x mặt tiền 6,6 m
Giá bán 60 triệu/m2 . miễn trung gian
Liên hệ anh cường"
15,"Bán nhà thổ cư 40m2, mặt tiền 5.5m ngõ Chợ Khâm Thiên, Đống Đa
Địa chỉ : Phố Khâm Thiên, Phường Khâm Thiên, Đống Đa, Hà Nội
Diện tích 40 m Mặt tiền 5.5 m
Bán cùng lúc 2 nhà cấp 4, tổng diện tích 40m2, mặt tiền 5.5m. Vị trí ở Ngã 3 Ngách, hướng Nam, lối ngõ rộng 2 - 3m, cách đường 360 Xã Đàn, phố Khâm Thiên khoảng 100m, 2 mặt sau nhà thoáng rộng. Rất thích hợp xây CCMN hoặc xây nhà Ở.
Hiện trạng là nhà cấp 4: 1 tầng , 1 PN , 1 WC
Vị trí trung tâm gần nhiều tiện ích như chợ dân sinh, công viên, trường học, môi trường yên tĩnh, an ninh tốt.
Đất lâu năm từ xưa sổ đỏ chính chủ, giá 2,8 tỷ"
16,"NHÀ ĐẸP Ở NGAY - GẦN TIME CITY - TIỆN ÍCH NGẬP TRÀN - AN SINH ĐỈNH
- Vị trí ngay mặt phố Lĩnh Nam - chung cư New Horizon, đối diện là siêu thị T Mart, ngay phía sau Times City, gần chợ 5 tầng, chợ Mai động. Gần trường C1, C2 Mai Động, Vinschool .
- Vị trí đẹp căn góc view công viên đường Lĩnh Nam.
- Cách bờ hồ Hoàn Kiếm 5km, cách Times City, BV Vinmec 0.5km.
- Diện tích: 104 m2 ( nhà nhận thô từ chủ đầu tư , gia đình tự thuê thiết kế và lắp đặt thiết bị xịn xò)
- Phòng ngủ: 03 phòng.
- Phòng tắm: 02 phòng.
- Phòng khách: 01 phòng + Bếp
- Ban công Hướng: Tây nam
- Cửa hướng: Đông
- Thang máy: 4 thang máy
- Tầng View đẹp nhìn cảnh quan đẹp mắt tầm nhìn ko giới hạn, mùa hè cực mát .
Nhà đầy đủ nội thất điều hoà, giường tủ , bàn ghế , nóng lạnh vv và mây mây  khách mua chỉ việc mang quần áo để ở ngay."
17,"Tôi chủ nhà cần bán căn nhà tại ngõ 82 Nguyễn An Ninh, Hai Bà Trưng, diện tích thực tế xây dựng 60m2, 4 tầng, nhà có sân trước sân sau, mỗi tầng 2 phòng ngủ, đều có cửa sổ thoáng. Ảnh thực tế của nhà
Ngõ 3 gác, phân lô bàn cờ, nhu cầu chuyển nhượng lại giá 6.6 tỷ"
18,"+ Vị trí trung tâm Gia Thuỵ hiếm người bán.Phân lô của Hàng không đáng sống nhất Long Biên.
+ Ngõ Thông oto 7 chỗ quá nhà, vào nhà, đường trước nhà 5m. Tiện ích đầy đủ là chung tâm quận Long Biên gần trường học bệnh viện tiện ích an sinh tuyệt vời!
+ Nhà xây 4 tầng chắc chắn. Diện tích xây dựng 76m/ tầng.
+ Sổ đỏ căng đét, sẵn sàng giao dịch.
+ Liên hệ e Liên:"
19,"+ Bán Nhà Ngõ phố Văn Tiến Dũng, Phường Minh Khai, Bắc Từ Liêm. 85m2, 3.6 tỷ
+ Nhà nằm ở vị trí rất đẹp ngõ rộng, thông tứ phía, khu vực giao thông thuận tiện, giao với các phố Cầu Diễn, Võ Quý Huân, Phú Minh. Đi 5 phút ra trường ĐHCN Hà Nội, 10 phút ra Học viện Cảnh Sát. Đối diện là Trung tâm VH quận, trường THPT Nguyễn Thị Minh Khai chuẩn quốc gia. Bên cạnh đó đầy đủ tiện ích như bể bơi, sân vận động Từ Liêm
+ Nhà xây tâm huyết để ở, khung cột chắc chắn, đầy đủ công năng sử dụng.
+ Chủ là anh Dũng kỹ sư xây dựng bán để chuyển vào nam định cư, nên giá vào việc rất linh động, chỉ cần khách thích là mua được."
20,"CẦN BÁN CĂN NHÀ MỚI TẠI NGÕ 193 BỒ ĐỀ , LB HN , Ô TÔ VÀO NHÀ
DT 40M2 ,MT4.3M, 5.5 TẦNG -GIÁ CHÀO 5.5 TỶ
NHÀ THIẾT KẾ 4 PHÒNG NGỦ .
BÁN NHÀ ĐÚNG NHƯ HÌNH CAM KẾT GIÁ CHUẨN NHẤT TỪ NHÀ ĐẦU TƯ
Anh / chị quan tâm liên hệ e Dương"
21,"+ Gia chủ chuyển vào Vinhomes nên bán nhanh căn nhà vị trí  toạ lạc trên phố Gia Quất Ngọc Lâm gần bến xe Gia Lâm 5 phút lên cầu Long Biên và Chương Dương , khu vực hiếm nhà bán.
+ Nhà được gia chủ xây kiên cố 6 tầng vừa ở vừa kinh doanh. Thiết kế hiện đại bắt mắt!
- Sổ đỏ cất két sẵn sàng đợi chủ mới có duyên, không quy hoạch chanh chấp.
- Giá bán có 9,6 ty  quá hời cho căn nhà này. Quan tâm liên hệ số di dộng - zalo  Xin cảm ơn!"
22,"Cần bán nhà chính chủ ngõ 32 An Dương Yên Phụ Tây Hồ.
Diện tích 320m,hai mặt tiền siêu rộng 9m, nhà phân lô, ôtô tải chạy vòng quanh.
Giá 18.9 tỷ.
Vị trí phong thủy tốt, vượng khí, đất phát mang đến cho gia chủ nhiều may mắn và tài lộc, đây là khu vực được chia phân lô cho quan chức quận và thành phố.
Nhà ngay gần ngã tư Yên Phụ Thanh Niên, vị trí vàng siêu đẹp thách thức mọi thể loại đầu tư. Phù hợp xây Chung Cư, Apartment cho tây thuê, gần nhà có rất nhiều Apartment.
Vị trí đắc địa quy hoạch ổn định, an ninh tốt, an sinh đỉnh, gần trường học, bệnh viện,
vài phút đi bộ ra Tây Hồ lộng gió.
Liên hệ ngay với tôi Chu Quyết sđt/zalo để xem nhà."
23,"Bán toà CCMN HỒ TÙNG MẬU   5Tnhỉnh 6 tỷ
TÒA NHÀ DỊCH VỤ CHO THUÊ 09 CĂN HỘ
+ KHU VỰC HỒ TÙNG MẬU, Mai DỊCH MỸ ĐÌNH.
+ KHU VỰC TẬP CHUNG NHIỀU TRƯỜNG ĐẠI HỌC LỚN NHƯ NGOẠI THƯƠNG,NGOẠI NGỮ,ĐẠI HỌC QUỐC GIA HÀ NỘI
+ NHIỀU SINH VIÊN CÓ NHU CẦU THUÊ,GIÁ THUÊ KHU VỰC CAO.
+ NHÀ BÁN NẰM TẠI VỊ TRÍ ĐẮC ĐỊA,ĐƯỜNG TRƯỚC NHÀ XE 3 GÁC TRÁNH THOẢI MÁI
+ 30M RA MẶT PHỐ HỒ TÙNG MẬU
+ 10M RA Ô TÔ TRÁNH
DOANH THU 50TR / THÁNG
Tổng 09 phòng cho thuê. Doanh thu 50tr / tháng."
24,"TOÀ CĂN HỘ DỊCH VỤ CAO CẤP TÂY HỒ - NỘI THẤT NHIỀU TỶ - TẦM VIEW TRIỆU ĐÔ BAO TRỌN HỒ TÂY - VỪA Ở SƯỚNG LẠI VỪA ĐẺ TIỀN 125M2, THIẾT KẾ 8 TẦNG GIÁ 42,5 TỶ.
Mô tả:
+ Vị trí không cần nói quá nhiều, ba bước ra mặt Hồ Tây nơi hội tụ cuộc sống sang trọng, đẳng cấp.
+ Chủ nhà,  thuê thiết kế nổi tiếng về thiết kế tầng penthouse (tầng 7,8) để Chủ ở, đẳng cấp 5 sao, từ tầng 1-6 15 phòng cho thuê doanh thu gần 1.5 tỷ/ năm.
- Tầng 1: Gara ô tô, chỗ để xe, 1 phòng cho thuê.
- Tầng 2: Tổng 2 căn hộ khép kín, với 1 quầy lễ tân.
- Tầng 3,4,5,6: Mỗi tầng 3 căn hộ kép kín.
- Tầng 7: 2 Phòng ngủ đẳng cấp.
- Tầng 8: Phòng khách, bếp.
+ Nhà đúng nghĩa Triệu Đô, nâng tầm chủ nhân, vừa thoả cái OAI, vừa ĐẺ TIỀN.
+ Cô Chủ ghé tai nói nhỏ toàn bộ nội thất tầng 7 và 8 Em làm mất hơn 6 tỷ vừa ở 4 tháng giờ để lại toàn bộ cho Khách hàng bén duyên."
25,"Tôi cần bán nhà Hàng Bông quận Hoàn Kiếm. Diện tích 21m, 5 tầng chắc chắn, mặt tiền 5m. Vị trí đẹp vỉa hè rộng. kinh doanh mọi loại hình.  Đoạn gần ngay Lý Quốc Sư, Hàng Mành. liên hệ để biết thêm chi tiết. Miễn trung gian làm phiền."
26,"Đội 5 Yên Kiện 73m  4.5 mt  5xx tỷ Thanh Trì .
Mô tả:
- Nhà 5 tầng có thang máy nhập khẩu cực vip.
Vị trí:
- Mặt ngõ đội 5 Yên Kiện là ngõ to rộng 12m như mặt đường Quang Trung.
- Đường trước nhà 3 ô tô tránh nhau kinh doanh sầm uất.
- Thiết kế :
+ Tầng 1: Kinh doanh.
+ Tầng 2 + 3 + 4 tổng 5 phòng ngủ riêng biệt.
+ Tầng 5: phòng thờ + sân phơi.
- Sổ đỏ chính chủ pháp lý rõ ràng.
-"
27,"LÔ GÓC - Ô TÔ  BÃI GỬI XE CÁCH NHÀ 20M - TRƯỚC NHÀ THOÁNG VĨNH VIỄN.

CHủ cần bán gấp nhà ngõ 179 Hoàng Mai 3m2 x5 tầng mặt tiền 3.5. Giá 3.35 tỷ
Mô tả:
+ Nhà bán nằm cách ô tô tránh 20M. Bãi gửi xe ngay gần nhà. Trước nhà có khoảng đất rất rộng nên rất thoáng và yên tĩnh.
+ Nhà chủ xây được 2 năm còn mới. Chủ tặng lại toàn bộ nội thất cho khách thiện trí mua nhanh.
Thiết kế:
- Tầng 1: khách + bếp + vệ sinh + sân để xe.
- Tầng 2,3,4: phòng ngủ + vệ sinh.
- Tầng 5: phòng thờ + sân phơi.
+ Sổ đỏ chính chủ nở hậu 3 phân sẵn sàng giao dịch."
28,"Hoa Bằng Cầu Giấy DT 40m mặt tiền 5.5m-- 8.6 tỷ
Diện tích 40m 5 tầng mặt tiền 5.5m giá 8.6 tỷ Sổ vuông  cất két.
được thiết kế.
Tầng 1: Gara + vs
Tầng 2: Phòng khách rộng + Bếp.
Tầng 3+4: gồm 4 PN tiện nghi + vs.
Tầng 5: 1PN + sân phơi rất rộng, có thể làm thêm phòng.
Chủ nhà công chức, lịch sự.
ô tô tránh, xe máy, khu cán bộ, lãnh đạo, dân trí cao, Tiện ích đủ. Ở yên tĩnh
Nhà vuông , đẹp, chủ nhà thiết kế tâm huyết, sang trọng,
Mặt tiền rộng, oto vào nhà"
29,"NHANH CHÂN THÌ CÒN CHẬM CHÂN THÌ VÀO SÀI GÒN MÀ MUA SIÊU PHẨM CẦU GIẤY PHÂN LÔ - Ô TÔ TRÁNH - 2 THOÁNG.
Mô tả:
+ Nhà thiết kế 5 tầng.
Tầng 1 gara( khách) ô tô bếp
Tầng 2,3,4 mỗi tầng 2 phòng
Tầng 5 phòng thờ sân chơi.
Nằm ngay đoạn đường Hoàng Quốc Việt đường ô tô tranh cả khu toàn quan chức.
Với 59m2 thông số chuẩn đẹp, không lỗi lầm bất cứ cái gì.
Mặt tiền 3.9m mặt hậu nở 2cm.
+ Xây dựng bởi thiếu tướng Quân Đội nên cực chắc chắn, phòng sau có cả ban công thoáng xịn.
+ Sổ đỏ cất két,"
30,"bán nhà mặt phố giáp nhị lô góc 2 mặt thoáng ,phường thịnh liệt quận hoàng mai
+ diện tích 68m2 xây 5 tầng , thang máy nhập khẩu
+ mặt tiền rộng 4m+ hướng bắc
+ vị trí đẹp trên con phố giáp nhị
+ nhà xây độc lập kết cấu cực kỳ vững chắc
+ sổ đỏ và giao dịch chính chủ
+ vị trí gần bến xe giáp bát, giải phóng,trương định, tân mai
+ giá 12,5 tỷ ( có bớt)
khách mua có nhu cầu xem nhà liên hệ mr luân để được dẫn đi xem nhà miễn phí"
31,"Chỉ duy nhất sẽ 50 nền tại Pk9 ngay cửa ngõ kỳ co eo gió  E có nhận để lấy những nền đẹp cho khách
Đất nền sổ đỏ lâu dài, đã có riêng từng nền, sang tên công chứng luôn
38tr/m2
Diện tích:Lk 5 x 16 m2,   Bt: 7 x 18 m2
Chính sách ưu đãi
5% cho tất cả sp
100tr cho nền Biệt thự nếu xây dựng
1% cho khách có hộ khảu tại Tây nguyên, Bình định, Sg, HN
Ngân hàng cho vay 65%( ân hạn lãi gốc 24 tháng)"
32,"Chuyển đi nước ngoài công tác nên gia đình cần bán gấp căn nhà mặt phố tại Quận Tây Hồ, Hà Nội.
Thửa đất với diện tích 80m2 vuông vắn, mặt tiền rộng phù hợp với toà nhà 8 tầng thang máy cho thuê dòng tiền.
Cách Hồ Tây và bệnh viện Thu Cúc 300m, không gian sống đẳng cấp.
Quy hoạch tại đây đã ổn định, pháp lý chính chủ.
GÍA BÁN: Thoả thuận.
Khách hàng thiện chí liên hệ ngay: Mr Vương để xem nhà và gặp trực tiếp chủ nhà làm việc.



----Trao cơ hội, Nhận niềm tin!----"
33,"Cần bán Biệt Thự nhà vườn KĐT Việt Hưng LB HN 110m2 , 5 Tầng ,giá bán 18.3 tỷ.
- Nhà hoàn thiện 3 năm nay - Nhà có thiết kế tầng hầm .
- Vị trí đẹp cạnh vườn hoa - không lỗi phong thủy .
- Nhà bán đúng như trong ảnh.
Lh e Dương Ạ"
34,"Bán nhà ngõ 369/10 ngõ Quỳnh, P. Quỳnh Lôi, Q.Hai Bà Trưng, Hà Nội.
Sổ đỏ chính chủ, ngõ trước nhà 3,5m, sân cổng riêng, 2 mặt thoáng,
DT đất 52m2, DT sàn 200m2, 4 tầng. Mỗi tầng 2 phòng ngủ, 3 phụ, điện nước đầy đủ, hướng Đông Nam. Giá 5,6 tỷ.
Liên hệ chính chủ: Chị Lan: 0914.554.305. Miễn trung gian.
MIỄN CÁC BÁO ĐIỆN TỬ GỌI ĐIỆN TIẾP THỊ ĐĂNG TIN."
35,"Cần bán đất tại địa chỉ: Ngõ 245 hẻm 32/2 (cạnh nhà số 2) phố Định Công, phường Định Công, quận Hoàng Mai, Hà Nội.
- Diện tích: 54m2
- Mặt tiền 3.7m, chiều sâu 14m
- Hướng Nam
- Sổ đỏ chính chủ
- Trên đất đã có nhà cấp 4 hiện đang cho thuê
- Khu vực đông dân, an ninh ổn định
- Nhà gần trường, gần chợ và nhiều tiện ích xung quanh.thuận tiện giao thoogn đi lại.
- Giá bán: 70 triệu/m2.
Liên hệ SĐT chính chủ: bà Liên - 0363.585.408"
